bedrooms,bathrooms,square_footage,lot_size_acres,year_built,garage_spaces,property_type,neighborhood_quality,school_rating,crime_rate_index,distance_to_downtown_miles,has_pool,has_renovation,tax_assessed_value,days_on_market,listing_description,price
2,1,1201,0.13,2023,1,1,5,10.0,2.46,2.0,0,0,135075,8,"Don't overlook this convenient opportunity featuring sold strictly as-is condition. Attention investors: functional property with large lot with future development potential. Priced to sell, this convenient home has large lot with future development potential. An economical home with large lot with future development potential. This functional property offers solid bones and a good structural foundation. Attention investors: convenient property with motivated seller offering below market value. This practical property offers price reduced for a quick sale. Priced to sell, this solid home has price reduced for a quick sale. The property sits on a well-landscaped lot in an established neighborhood. The home has five bedrooms and one bathrooms.",143715
5,4,2526,0.18,2018,2,1,3,5.9,1.54,10.9,0,1,402594,96,"The home showcases spa-inspired master bathroom alongside waterfront location with private dock. This breathtaking property offers spa-inspired master bathroom. The home showcases panoramic views of the surrounding landscape alongside waterfront location with private dock. Welcome to this impeccable home featuring grand foyer with soaring ceilings. Rarely available, this stunning residence boasts grand foyer with soaring ceilings. Every detail reflects stunning craftsmanship and design. Close to parks, shopping, and public transportation options. Minutes from downtown with a straightforward commute.",541900
5,5,2043,0.06,1995,2,2,1,4.3,6.64,4.6,0,0,153190,41,"Don't overlook this economical opportunity featuring cosmetic updates needed throughout. This convenient property offers solid bones and a good structural foundation. Priced to sell, this functional home has a true handyman special. This modest property offers great location despite needing some TLC. The home needs work but provides solid bones and a good structural foundation. Attention investors: practical property with ideal for investors or first-time homebuyers. This compact property offers a true handyman special. Don't overlook this convenient opportunity featuring great location despite needing some TLC. Minutes from downtown with a straightforward commute. Located in the west village area with easy access to major highways.",174473
5,5,1712,0.92,1974,3,3,4,9.4,3.67,1.5,1,0,485781,5,"Rarely available, this exquisite residence boasts resort-style pool and outdoor entertaining area. This stunning property offers grand foyer with soaring ceilings. Enjoy gourmet kitchen with marble countertops in this elegant estate. Rarely available, this breathtaking residence boasts grand foyer with soaring ceilings. Every detail reflects sophisticated craftsmanship and design. Minutes from downtown with a straightforward commute. The home has two bedrooms and three bathrooms.",587689
2,1,1178,0.24,1982,1,2,1,5.5,6.06,3.4,0,0,58549,2,"Don't overlook this economical opportunity featuring a true handyman special. Attention investors: modest property with price reduced for a quick sale. The home needs work but provides sold strictly as-is condition. Priced to sell, this functional home has solid bones and a good structural foundation. This compact property offers solid bones and a good structural foundation. The home needs work but provides tremendous potential for the right buyer. Attention investors: solid property with sold strictly as-is condition. An economical home with large lot with future development potential. Close to parks, shopping, and public transportation options. The home has three bedrooms and three bathrooms.",80000
4,4,1687,0.39,1990,3,2,3,10.0,3.03,1.6,0,1,339019,18,"Welcome to this exquisite home featuring state-of-the-art smart home system. The home showcases resort-style pool and outdoor entertaining area alongside grand foyer with soaring ceilings. Every detail reflects sophisticated craftsmanship and design. The home showcases chef's kitchen with professional-grade appliances alongside spa-inspired master bathroom. Every detail reflects breathtaking craftsmanship and design. This sophisticated property offers gourmet kitchen with marble countertops. Every detail reflects breathtaking craftsmanship and design. The home showcases grand foyer with soaring ceilings alongside custom-built cabinetry and designer finishes. Welcome to this stunning home featuring gourmet kitchen with marble countertops. Minutes from downtown with a straightforward commute. Close to parks, shopping, and public transportation options.",364871
3,3,1739,0.61,1952,2,0,4,9.7,3.39,1.0,1,1,352285,171,"Rarely available, this exceptional residence boasts gleaming hardwood floors throughout. Enjoy resort-style pool and outdoor entertaining area in this sophisticated estate. Every detail reflects luxurious craftsmanship and design. Welcome to this exceptional home featuring custom-built cabinetry and designer finishes. Located in the north side area with easy access to major highways. The property sits on a standard-sized lot in an established neighborhood.",409016
2,3,896,0.78,2000,2,0,4,8.3,2.18,0.5,0,0,184752,6,Welcome to this inviting property with separate dining room and living area. The property includes family-friendly neighborhood with good schools and sits on a spacious lot. An appealing residence offering separate dining room and living area. Welcome to this charming property with new roof installed within the last five years. The property includes family-friendly neighborhood with good schools and sits on an attractive lot. Don't miss this attractive opportunity with open floor plan with abundant natural light. The property sits on a generous lot in an established neighborhood. Located in the north side area with easy access to major highways.,207801
4,4,2377,0.94,2021,1,3,3,9.8,4.6,2.4,0,0,346114,13,"Enjoy spa-inspired master bathroom in this prestigious estate. Welcome to this magnificent home featuring grand foyer with soaring ceilings. Every detail reflects exceptional craftsmanship and design. Enjoy grand foyer with soaring ceilings in this elegant estate. This magnificent property offers panoramic views of the surrounding landscape. Rarely available, this exceptional residence boasts gleaming hardwood floors throughout. Every detail reflects sophisticated craftsmanship and design. Welcome to this elegant home featuring spa-inspired master bathroom. Rarely available, this impeccable residence boasts grand foyer with soaring ceilings. The property sits on a generous lot in an established neighborhood. Close to parks, shopping, and public transportation options.",472255
4,4,1689,0.4,1974,1,1,4,7.7,4.54,4.3,0,0,242294,7,"Don't miss this well-maintained opportunity with separate dining room and living area. Featuring new roof installed within the last five years, this well-maintained home is perfect for families. Welcome to this appealing property with separate dining room and living area. This well-maintained home features new roof installed within the last five years. Close to parks, shopping, and public transportation options. The home has five bedrooms and two and a half bathrooms.",271496
