budget_millions,runtime_minutes,genre_primary,sequel_number,director_avg_gross,lead_actor_avg_gross,studio_tier,release_month,is_holiday_release,mpaa_rating,num_theaters_opening,marketing_spend_millions,critic_score_pre_release,social_media_buzz_index,plot_summary,worldwide_gross_millions
35.3,94,2,2,7.7,251.3,2,1,0,2,1859,18.5,57,37.3,The franchise returns as A teacher in a struggling school fights to reach students others have given up on. A couple grapples with a devastating diagnosis that changes everything. Intriguing twists keep the audience invested from beginning to end. A teacher in a struggling school fights to reach students others have given up on. The film delivers an enjoyable blend of tension and emotional resonance. A family confronts long-buried secrets that threaten to tear them apart. A community rallies together in the aftermath of an unexpected tragedy. Compelling performances anchor this entertaining and accessible film. A couple grapples with a devastating diagnosis that changes everything. Strong character development elevates the story above familiar territory.,44.6
42.6,113,7,0,41.7,19.0,1,8,0,2,2005,23.5,60,358.2,A couple separated by circumstance must decide if love is worth the distance. Rivals in a competitive industry are forced to work together and find unexpected connection. Former partners reunite during the holiday season and confront unresolved feelings. Rivals in a competitive industry are forced to work together and find unexpected connection. Two people from different worlds are brought together by a twist of fate at a music festival. The film delivers an enjoyable blend of tension and emotional resonance. A couple separated by circumstance must decide if love is worth the distance. Childhood friends rediscover each other years later in a small seaside village.,28.9
6.3,119,6,2,71.3,20.2,1,9,0,3,1021,2.3,61,17.5,"Returning for another chapter, A raw and unflinching look at ordinary life in extraordinary circumstances. The avant-garde visual style creates a meditative atmosphere throughout. A raw and unflinching look at ordinary life in extraordinary circumstances. The experimental narrative challenges conventional storytelling in subtle ways. A fugitive must prove their innocence while being hunted by both sides of the law. A political cover-up unravels as key players begin to turn on each other. An analyst stumbles upon evidence of a conspiracy that could topple the government. A witness to a crime is drawn into the criminal underworld's most dangerous game. The avant-garde visual style creates a meditative atmosphere throughout.",20.9
255.4,112,2,0,181.3,25.6,0,9,0,2,4500,77.5,61,50.0,A sweeping score accompanies the visually stunning world-building. A couple grapples with a devastating diagnosis that changes everything. Massive action sequences and explosive confrontations define this blockbuster spectacle. A family confronts long-buried secrets that threaten to tear them apart. The globe-spanning adventure takes audiences on a monumental journey.,89.9
272.4,108,2,2,26.0,86.4,1,10,0,0,3991,81.8,30,36.7,"A couple grapples with a devastating diagnosis that changes everything. An intimate character study unfolds at a contemplative and deliberate pace. The quiet, introspective approach emphasizes mood over spectacle. The avant-garde visual style creates a meditative atmosphere throughout. A family confronts long-buried secrets that threaten to tear them apart. An immigrant family navigates the challenges of building a new life. The avant-garde visual style creates a meditative atmosphere throughout. The quiet dissolution of a marriage is examined from both perspectives.",78.6
62.6,127,1,2,44.5,52.1,1,7,1,1,3460,24.7,52,13.4,The saga continues as A hapless roommate tries to impress a date while everything falls apart. Massive action sequences and explosive confrontations define this blockbuster spectacle. Breathtaking visual effects and thrilling set pieces drive the narrative forward. An office worker gets tangled in a series of escalating misunderstandings. Massive action sequences and explosive confrontations define this blockbuster spectacle. A sweeping score accompanies the visually stunning world-building. An accidental mix-up at a high school reunion leads to comedic chaos. Two rival neighbors compete in an absurd contest that spirals out of control. A family road trip goes hilariously wrong at every possible turn.,96.2
41.0,97,5,0,64.7,45.0,2,2,0,0,2153,12.9,64,24.1,A plucky creature discovers it has a special destiny to restore balance to the realm. A group of toys comes to life and must protect their owner from a shadowy villain. Compelling performances anchor this entertaining and accessible film. Strong character development elevates the story above familiar territory. The engaging story balances humor and heart with well-crafted pacing. A group of toys comes to life and must protect their owner from a shadowy villain. A lost animal travels across a colorful world to find its way back home. A brave child discovers a hidden realm of magical creatures beneath the ocean.,36.2
29.5,91,0,0,28.3,43.0,0,12,1,1,2837,19.1,100,44.3,An undercover agent discovers a conspiracy that could trigger a global conflict. A former soldier is pulled back into action when an old enemy resurfaces. A battle-hardened warrior leads a desperate mission into enemy territory. A former soldier is pulled back into action when an old enemy resurfaces. Breathtaking visual effects and thrilling set pieces drive the narrative forward.,55.5
42.5,112,5,1,30.6,9.5,1,12,1,3,2371,24.2,57,18.6,"Returning for another chapter, A sweeping score accompanies the visually stunning world-building. Breathtaking visual effects and thrilling set pieces drive the narrative forward. The stakes are enormous, and the payoff is nothing short of spectacular. The globe-spanning adventure takes audiences on a monumental journey. Massive action sequences and explosive confrontations define this blockbuster spectacle. A plucky creature discovers it has a special destiny to restore balance to the realm. A young adventurer and a wise companion journey through a dangerous magical forest. A brave child discovers a hidden realm of magical creatures beneath the ocean. A group of toys comes to life and must protect their owner from a shadowy villain.",50.9
26.4,97,6,1,42.4,73.1,1,6,1,0,2208,11.3,69,8.1,"Once again, The film delivers an enjoyable blend of tension and emotional resonance. Strong character development elevates the story above familiar territory. A witness to a crime is drawn into the criminal underworld's most dangerous game. An analyst stumbles upon evidence of a conspiracy that could topple the government. A witness to a crime is drawn into the criminal underworld's most dangerous game. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion.",39.6
55.6,84,7,0,4.2,6.7,0,12,1,1,3450,27.2,46,68.9,A chance encounter at a Paris bookshop changes two lives forever. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. Strong character development elevates the story above familiar territory. The engaging story balances humor and heart with well-crafted pacing. Two strangers fall in love during an unexpected summer on the coast.,37.8
32.2,110,5,1,24.7,9.6,0,9,0,3,3099,20.8,70,46.7,The franchise returns as A sweeping score accompanies the visually stunning world-building. The globe-spanning adventure takes audiences on a monumental journey. A young hero embarks on a magical quest to save an enchanted kingdom. Massive action sequences and explosive confrontations define this blockbuster spectacle. A brave child discovers a hidden realm of magical creatures beneath the ocean. A group of toys comes to life and must protect their owner from a shadowy villain. A plucky creature discovers it has a special destiny to restore balance to the realm.,54.3
67.8,115,0,1,29.3,34.3,2,11,1,2,3212,37.0,40,8.8,"The franchise returns as The globe-spanning adventure takes audiences on a monumental journey. A former soldier is pulled back into action when an old enemy resurfaces. The globe-spanning adventure takes audiences on a monumental journey. The stakes are enormous, and the payoff is nothing short of spectacular. A battle-hardened warrior leads a desperate mission into enemy territory. A former soldier is pulled back into action when an old enemy resurfaces. Breathtaking visual effects and thrilling set pieces drive the narrative forward. A battle-hardened warrior leads a desperate mission into enemy territory.",89.5
6.5,75,2,0,76.4,76.1,1,1,0,3,1866,5.1,40,10.4,"The quiet, introspective approach emphasizes mood over spectacle. The avant-garde visual style creates a meditative atmosphere throughout. An intimate character study unfolds at a contemplative and deliberate pace. A family confronts long-buried secrets that threaten to tear them apart. The quiet dissolution of a marriage is examined from both perspectives. The avant-garde visual style creates a meditative atmosphere throughout.",14.9
10.2,136,0,2,101.2,63.9,2,7,1,3,2761,7.7,65,22.4,"In the latest installment, The hero must fight through waves of adversaries to reach the stronghold. Compelling performances anchor this entertaining and accessible film. A battle-hardened warrior leads a desperate mission into enemy territory. An undercover agent discovers a conspiracy that could trigger a global conflict. Strong character development elevates the story above familiar territory.",36.0
7.3,136,2,1,317.5,62.0,0,3,0,3,2728,3.8,57,72.4,"Returning for another chapter, A family confronts long-buried secrets that threaten to tear them apart. A couple grapples with a devastating diagnosis that changes everything. A survivor returns to a small town to face the trauma of the past. The experimental narrative challenges conventional storytelling in subtle ways. An intimate character study unfolds at a contemplative and deliberate pace. An artist must choose between personal ambition and the people who depend on her. A teacher in a struggling school fights to reach students others have given up on.",26.3
8.8,110,0,0,31.4,18.3,1,3,0,2,2315,5.7,38,62.0,The avant-garde visual style creates a meditative atmosphere throughout. The hero must fight through waves of adversaries to reach the stronghold. The experimental narrative challenges conventional storytelling in subtle ways. The hero must fight through waves of adversaries to reach the stronghold. A battle-hardened warrior leads a desperate mission into enemy territory.,18.3
74.1,111,7,0,129.2,54.0,1,5,0,2,1884,47.6,63,15.2,"Rivals in a competitive industry are forced to work together and find unexpected connection. Breathtaking visual effects and thrilling set pieces drive the narrative forward. Childhood friends rediscover each other years later in a small seaside village. The stakes are enormous, and the payoff is nothing short of spectacular. A sweeping score accompanies the visually stunning world-building. Massive action sequences and explosive confrontations define this blockbuster spectacle.",55.2
57.5,93,6,0,139.7,32.0,1,5,0,3,2513,42.1,33,26.3,"A detective uncovers a web of corruption that reaches the highest levels of power. The stakes are enormous, and the payoff is nothing short of spectacular. A cyber operative races against time to stop an imminent attack on infrastructure. A detective uncovers a web of corruption that reaches the highest levels of power. An operative deep undercover realizes the people she trusts are the real threat. The globe-spanning adventure takes audiences on a monumental journey. An analyst stumbles upon evidence of a conspiracy that could topple the government. A witness to a crime is drawn into the criminal underworld's most dangerous game.",52.4
9.2,85,6,1,42.9,54.2,2,4,0,1,2428,7.3,36,57.2,The franchise returns as A detective uncovers a web of corruption that reaches the highest levels of power. A cyber operative races against time to stop an imminent attack on infrastructure. The experimental narrative challenges conventional storytelling in subtle ways. An operative deep undercover realizes the people she trusts are the real threat. A raw and unflinching look at ordinary life in extraordinary circumstances. The avant-garde visual style creates a meditative atmosphere throughout. An operative deep undercover realizes the people she trusts are the real threat.,18.4
28.9,116,4,1,2.6,50.9,0,11,1,3,1809,12.6,66,79.8,"Once again, A space station crew faces a mysterious threat that picks them off one by one. The engaging story balances humor and heart with well-crafted pacing. A quantum physicist accidentally opens a gateway to an alternate timeline. The engaging story balances humor and heart with well-crafted pacing. Compelling performances anchor this entertaining and accessible film. Colonists on a distant world discover the planet has a consciousness of its own. In a dystopian future, an android questions the nature of its own existence. A crew aboard a deep-space vessel encounters an alien signal that defies explanation.",29.4
47.6,99,0,0,162.1,13.0,1,4,0,3,3143,27.7,24,48.9,"A sweeping score accompanies the visually stunning world-building. Explosive combat sequences unfold across a post-apocalyptic wasteland. The globe-spanning adventure takes audiences on a monumental journey. A sweeping score accompanies the visually stunning world-building. The stakes are enormous, and the payoff is nothing short of spectacular. The story builds to a spectacular climax of epic proportions. A sweeping score accompanies the visually stunning world-building. The globe-spanning adventure takes audiences on a monumental journey. The stakes are enormous, and the payoff is nothing short of spectacular. The globe-spanning adventure takes audiences on a monumental journey.",54.4
24.2,119,1,0,39.1,63.4,1,1,0,3,2667,18.0,77,15.6,"An office worker gets tangled in a series of escalating misunderstandings. The globe-spanning adventure takes audiences on a monumental journey. The story builds to a spectacular climax of epic proportions. A hapless roommate tries to impress a date while everything falls apart. A small-town festival becomes the backdrop for a series of slapstick mishaps. Breathtaking visual effects and thrilling set pieces drive the narrative forward. The stakes are enormous, and the payoff is nothing short of spectacular. The story builds to a spectacular climax of epic proportions. A group of misfit friends accidentally ruins the most important wedding of the year.",58.1
60.2,85,7,1,44.0,9.0,1,1,0,2,2907,29.2,57,47.2,The saga continues as A couple separated by circumstance must decide if love is worth the distance. Two people from different worlds are brought together by a twist of fate at a music festival. Compelling performances anchor this entertaining and accessible film. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. Rivals in a competitive industry are forced to work together and find unexpected connection. Former partners reunite during the holiday season and confront unresolved feelings. Rivals in a competitive industry are forced to work together and find unexpected connection. The engaging story balances humor and heart with well-crafted pacing.,35.0
