product_type,company_size,prior_complaints_against_company,consumer_age_bracket,state_regulatory_strictness,days_since_incident,monetary_loss_reported,company_response_time_days,previously_disputed,is_repeat_complaint,submission_channel,complaint_narrative,severity
2,0,11,4,5,1,23446.36,90.0,1,1,0,I was confused by a slight overcharge on my last billing cycle. Could someone explain the automatic payment settings associated with my bank account? A minor formatting error appeared on my account and I need clarification. I noticed a formatting error on my recent credit card statement.,Critical
5,2,4,4,1,31,4.53,12.5,1,1,2,"My personal loan account shows a disputed charge and customer service has been unhelpful. Despite multiple attempts, I cannot get a clear answer about my loan terms. The company provided incomplete information about my loan terms. I would appreciate a prompt response to this matter. My account number ends in 6693.",Medium
0,0,3,2,5,88,10.31,3.3,0,0,2,I was confused by a slight overcharge on my last billing cycle. Could someone explain the overdraft protection policies associated with my credit card? I received an account summary and the posted amount seems incorrect. I noticed a formatting error on my recent bank account statement. I have attached supporting documentation for your review. My account number ends in 4521.,Low
2,1,9,2,1,12,28.43,15.9,1,1,2,I am experiencing serious damage to my creditworthiness as a result of the wrongful denial of my legitimate claim. A debt collector used threatening and abusive language regarding a debt I do not owe. I suspect identity theft involving my bank account account. The company froze my account despite my repeated objections. I am experiencing serious damage to my creditworthiness as a result of the wrongful denial of my legitimate claim. I would appreciate a prompt response to this matter. My account number ends in 9954.,High
3,1,3,0,5,36,587.18,12.1,0,0,2,The company provided contradictory information about the dispute resolution process. I have called multiple times to resolve an inaccurate balance but the problem persists. I found an unauthorized charge of $125 on my personal loan. I was charged a service charge that I believe was applied incorrectly. My bank account account shows an incorrect late fee and customer service has been unhelpful. I am submitting this complaint through the federal portal. My account number ends in 4521.,Medium
1,0,0,2,5,63,42.44,1.9,0,0,0,I noticed a formatting error on my recent credit card statement. I was confused by an unfamiliar charge of a few dollars on my last billing cycle. There was a duplicate line item that I would like to understand better. A minor unfamiliar charge of a few dollars appeared on my account and I need clarification. I was confused by a small billing discrepancy on my last billing cycle. My account number ends in 8837. I would appreciate a prompt response to this matter.,Low
5,1,1,1,2,19,36.38,1.2,0,0,1,I received an annual notice and the balance seems incorrect. Could someone explain the my interest rate associated with my bank account? I received an account summary and the posted amount seems incorrect. I noticed a formatting error on my recent credit card statement. Could someone explain the my interest rate associated with my savings account? A minor formatting error appeared on my account and I need clarification. Please investigate this issue and take appropriate action. My account number ends in 8837.,Low
0,2,8,2,1,3,736.78,26.3,1,0,2,I received a wage garnishment notice even though the underlying debt was already resolved. My mortgage was continued reporting inaccurate information without proper notification or justification. My credit score has been negatively affected due to the company's failure to process my payment correctly. I am experiencing serious damage to my creditworthiness as a result of unauthorized changes to my account terms. A debt collector contacted my employer without authorization regarding a debt I do not owe. My account number ends in 6693. Please investigate this issue and take appropriate action.,High
1,2,6,4,5,9,249.86,12.7,1,1,1,The company froze my account despite my repeated objections. My bank account was refused to correct the error without proper notification or justification. I suspect systematic billing manipulation involving my student loan account. A debt collector refused to validate the alleged debt regarding a debt I do not owe. My bank account was continued reporting inaccurate information without proper notification or justification. I am submitting this complaint through the online portal. My account number ends in 4521.,High
4,1,3,2,5,143,179.85,1.7,0,0,1,Could someone explain the my interest rate associated with my bank account? I have a question about my interest rate related to my account. There was a small billing discrepancy that I would like to understand better. I was confused by a minor fee on my last billing cycle. There was a minor fee that I would like to understand better. Please investigate this issue and take appropriate action. My account number ends in 2210.,Low
3,0,4,2,3,12,504.35,9.9,1,0,3,I found an unauthorized charge of $47 on my auto loan. The company provided contradictory information about my loan terms. My credit card account shows an incorrect late fee and customer service has been unhelpful. I am disputing a late fee because the terms were not clearly disclosed. I would appreciate a prompt response to this matter. I am submitting this complaint through the federal portal.,Medium
1,2,5,3,5,15,3087.99,12.0,0,1,2,The company denied my application despite my repeated objections. I am experiencing significant financial hardship as a result of unauthorized changes to my account terms. A debt collector has been calling me repeatedly at all hours regarding a debt I do not owe. Please investigate this issue and take appropriate action. I have attached supporting documentation for your review.,High
3,2,2,2,5,4,131.83,8.3,0,0,3,I found an unauthorized charge of $125 on my personal loan. I have called three times to resolve an inaccurate balance but the problem persists. The company provided incomplete information about my loan terms. I was charged a late fee that I believe was applied incorrectly. I am disputing a late fee because the terms were not clearly disclosed. The company provided confusing information about the penalty structure. I have attached supporting documentation for your review. I am submitting this complaint through the regulatory portal.,Medium
4,2,8,4,5,12,140.76,8.5,1,0,1,A debt collector contacted my employer without authorization regarding a debt I do not owe. I received a legal action notice even though I have made every payment on time. My credit card was froze my account without proper notification or justification. The company refused to correct the error despite my repeated objections. My credit score has been wrongfully lowered due to the wrongful denial of my legitimate claim. I would appreciate a prompt response to this matter. My account number ends in 4521.,High
